"human infectious dose, severe acute respiratory syndrome coronavirus 2, SARS-CoV-2, exposure, routes",The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.
"Based, experimental studies, humans, coronaviruses, animals, exposed to, SARS-CoV-2, modeling, estimates, median, infectious, dose, viral particles, plaque-forming units, PFU","Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."
"dose, plaque-forming units, PFU, coronavirus, SARS-CoV-2, infected, cynomolgus macaques, combination, intranasal, intratracheal, exposure, TCID50","A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."
"Rhesus, cynomolgus macaques, mild, clinical infections, doses, PFU, routes, marmosets, mild infections, exposed to, PFU, intranasally","Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally."
"Rhesus, macaques, infected, SARS-CoV-2, ocular conjunctival, intratracheal route, dose, PFU, TCID50","Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50)."
"Rhesus, macaques, infected, TCID50, SARS-CoV-2, intranasal, intratracheal, oral, ocular, routes, moderate, human disease","Rhesus macaques infected with 2,600,000 TCID50 of SARS-CoV-2 by the intranasal, intratracheal, oral and ocular routes combined recapitulate moderate human disease."
"small study, infected, Rhesus macaques, ocular inoculation, TCID50, mild infection, gastric inoculation, infection, dose, gastric transmission, Interpretation, small scale","A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale."
"African green, monkeys, human disease, severe, pathological symptoms, exposed to, PFU, intranasal, intratracheal routes, mild clinical symptoms, aerosol, exposures, PFU, acute respiratory distress syndrome, ARDS, small particle, aerosol, doses, low, PFU","African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU."
"Aerosol, exposure, primate, species, African green monkeys, cynomolgus macaques, rhesus macaques, Collison nebulizer, mild clinical disease, animals, doses, PFU","Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU."
"Infectious, SARS-CoV-2, isolated, rhesus macaque, feces, fecal-oral transmission","Infectious SARS-CoV-2 has been isolated from rhesus macaque feces, suggesting possible fecal-oral transmission."
"Rhesus, macaques, monkey, non-human primate, model, human, COVID-19","Rhesus macaques have been suggested as the best non-human primate model of human COVID-19." 
"SARS-CoV-2, median, infectious, dose, Golden Syrian hamsters, intranasal, route, TCID50, PFU","The SARS-CoV-2 median infectious dose in Golden Syrian hamsters via the intranasal route was experimentally estimated at 5 TCID50 (~3.5 PFU)."
"Low-dose, intranasal, inoculation, ferrets, PFU, Golden Syrian hamsters, PFU, SARS-CoV-2, mild, clinical symptoms, production, infectious virus, seroconversion","Low-dose intranasal inoculation of ferrets (2,000 PFU) and Golden Syrian hamsters (1,800 PFU) with SARS-CoV-2 resulted in mild clinical symptoms, the production of infectious virus, and seroconversion."
"Golden, Syrian hamsters, exposed to, TCID50, PFU, intranasal, route, clinical symptoms, reminiscent, mild, human, infections, hamsters, infected","Golden Syrian hamsters exposed to 80,000 TCID50 (~56,000 PFU) via the intranasal route developed clinical symptoms reminiscent of mild human infections (all hamsters infected)."
"Golden, Syrian hamsters, infected, PFU, intranasally, mild, clinical symptoms, neutralizing antibodies, infecting, individuals, cages","Golden Syrian hamsters infected with 100,000 PFU intranasally exhibited mild clinical symptoms and developed neutralizing antibodies, and were also capable of infecting individuals in separate cages."
"Transgenic, hACE2, mice, infected, aerosol, exposure, TCID50/minute, TCID50, PFU",Transgenic (hACE2) mice became infected after timed aerosol exposure (36 TCID50/minute) to between 900 and 1080 TCID50 (~630-756 PFU).
"mice, exposed, minutes, infected, no mice, infected, exposure, minutes, TCID50, PFU","All mice (4/4) exposed for 25-30 minutes became infected, while no mice (0/8) became infected after exposure for 0-20 minutes (up to 720 TCID50, ~504 PFU)."
"Ferrets, infected, TCID50339, TCID50572, SARS-CoV-2, intranasal, route, symptoms, human, disease","Ferrets infected with 316,000 TCID50339 or 600,000 TCID50572 of SARS-CoV-2 by the intranasal route show similar symptoms to human disease."
"Uninfected, ferrets, contact, infected ferrets test positive, disease, days, post-contact",Uninfected ferrets in direct contact with infected ferrets test positive and show disease as early as 2 days post-contact.
"ferret study, individuals, exposed to, PFU, intranasal, route, infected, individuals, exposed to, PFU, infected","In a separate ferret study, 1 in 6 individuals exposed to 102 PFU via the intranasal route became infected, while 12 out of 12 individuals exposed to >104 PFU became infected."
"infectious, dose, pathogen, genetic material, infector, infectee, bottleneck, ” size",The infectious dose of a pathogen can be estimated by the amount of genetic material passed between an infector and infectee (called “bottleneck” size.
"epidemiological data, sequencing, data, statistics, average, bottleneck, ” size, SARS-CoV-2, viral particles, exposure, routes","using epidemiological data, sequencing data, and statistics, the average “bottleneck” size for SARS-CoV-2 has been estimated as ~1,200 viral particles, though exposure routes were not possible to identify."
"Modeling, aerosol, exposures, case studies, inhalation, ID50, SARS-CoV-2, viral particles, PFU","Modeling aerosol exposures from 5 case studies suggests the inhalation ID50 for SARS-CoV-2 is approximately 361-2,000 viral particles, which is approximately 250-1,400 PFU."
"Humans, exposed, intranasally, PFU, seasonal coronavirus, infections, intranasal, ID50, TCID50, PFU","Humans exposed intranasally to ~70 PFU of seasonal coronavirus 229E developed infections, with a plausible intranasal ID50 of 10 TCID50 (~7 PFU)."
"inhalation, infectious, dose, seasonal coronavirus, humans",The inhalation infectious dose of seasonal coronavirus 229E is unknown in humans.
