ground_truth	matched_claim
The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"Data on the human infectious doses for MERS-CoV, severe fever with thrombocytopenia syndrome virus (SFTSV), Nipah virus, EV-D68, and SARS-CoV-2 have not been reported"
The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	Data on the human infectious dose by aerosol and surface contact (fomite) transmission routes are still lacking for the SARS-CoV-2 pathogen
The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"Detection of cultivable SARS-CoV-2 from URT samples is valuable as a proxy for infectiousness; however, as the human infectious dose remains unknown, the significance of low titres of infectious virus for human-to-human transmission remains uncertain"
The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"This is especially true when dealing with highly pathogenic viruses with relatively low human infectious doses, as is the case with many of the emerging/re-emerging viruses, and likely including SARS-CoV-2, being discussed in this review"
The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"The human infectious dose for Pan99 aerosolized from paper tissues is unknown, but for an influenza A (H2N2) virus in liquid solution, aerosolized into similarly sized particles (1-3 µm), inhalation of~2 pfu or fewer (0.6 to 3 TCID 50 ) was found to be sufficient to initiate human infection 26 "
The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"[4] Furthermore, while it is clear that some individuals can have replicationcompetent virus cultured after 10 days, the human infectious dose is unknown and current data provide little insight into the degree of infectivity for those outliers"
The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"However, in human studies there may be less temptation towards the use of high challenge doses and the human infectious dose can be determined by dose escalation studies 35 "
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"The infectious dose of SARS-CoV-2, that is, the average number of virions necessary to cause an infection for COVID-19, is still unknown, but it is estimated at ∼1000 virions by analogy to influenza and other coronaviruses"
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"(Watanabe et al., 2010) estimated the infectious doses of several coronaviruses on the basis of data sets challenging humans with virus HCoV-229E (known as an agent of human common cold) and animals with SARS-CoV-1"
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"The human infective dose for SARS-CoV has been estimated at 16-160 plaque-forming units (Watanabe et al., 2010) "
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"In a murine model, the infectious dose of 2003 SARS-CoV was estimated to be 43-280 plaque-forming units"
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	used animal studies and modeling of SARS spreading in an apartment complex in China to estimate the infectious dose for SARS-Cov-1 to be 280 viral particles to cause disease in 50% of the population
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	(2010) used animal studies and modeling of SARS spreading in an apartment complex in China to estimate the infectious dose for SARS-CoV-1 to be 280 viral particles to cause disease in 50% of the population
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"Animals were infected with either Urbani, GZ02 or HC/SZ/61/03 under anesthesia through a combination of intratracheal (4 ml) and intranasal (0.5 ml per nostril) installation with a suspension containing 2610 6 plaque forming units (pfu) per ml DMEM (total infectious dose = 1610 7 pfu) of each of the 3 different SARS-CoV strains"
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"However, this exposure dose was likely an overestimation of infectious SARS-CoV-2 because the authors of the fecal shedding study indicated that the pfu equivalent numbers reported do not indicate infectivity number 16 "
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"Animals in all groups were infected on day 0 with a total dose of 2.8 × 10 6 median tissue culture infectious doses (TCID 50 ) of SARS-CoV-2 by a combination of 4 routes (intratracheal, oral, intranasal, and ocular) as previously established (13) "
"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"The 106 three remaining animals were infected with 5,000 pfu of SARS-CoV-2, a dose reduction 107 of 95% compared to the initial challenge"
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"To assess the protective potential of SARS-CoV-2 S-I53-50NPs, vaccinated macaques and contemporaneous control macaques (n=4) were infected with a total dose of 1 x 10 6 plaqueforming units (PFU) of a primary SARS-CoV-2 isolate (BetaCoV/France/IDF/0372/2020; passaged twice in VeroE6 cells) by combined intra-nasal and intra-tracheal routes at week 12, two weeks after the final immunization"
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose)."	"The human infective dose for SARS-CoV has been estimated at 16-160 plaque-forming units (Watanabe et al., 2010) "
