sentence,paperID,date,journal,affiliation,question,
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose). ",9f584e264ac9cfe0248b9e5cb552f4e3b335c91a,4/17/20,Science,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"A total dose of approximately 700,000 plaque-forming units (PFU) of the novel coronavirus SARS-CoV-2 infected cynomolgus macaques via combination intranasal and intratracheal exposure (106 TCID50 total dose). ",802992c9a1f56b050c8e5ae3277254e7d6f7d99f,4/17/20,Science,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally. ",9f584e264ac9cfe0248b9e5cb552f4e3b335c91a,4/17/20,Science,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Rhesus and cynomolgus macaques showed mild to moderate clinical infections at doses of 4.75x106 PFU (delivered through several routes), while marmosets developed mild infections when exposed to 1x106 PFU intranasally. ",802992c9a1f56b050c8e5ae3277254e7d6f7d99f,4/17/20,Science,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Rhesus macaques are effectively infected with SARS-CoV-2 via the ocular conjunctival and intratracheal route at a dose of ~700,000 PFU (106 TCID50).",7dd4ed1de7d608c7c84d3ca6d95f9caf3d9a39aa,3/30/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale.",7619243415c5dcb7cc8f7667115755c4bb0d46c5,9/2/20,Nat Commun,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale.",516c32122ba74a64811ac0e1d5f2b6f0833e1b94,9/2/20,Nat Commun,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"A small study infected Rhesus macaques via ocular inoculation (1x106 TCID50), resulting in mild infection; however, gastric inoculation did not result in infection (same dose), suggesting a limited role of gastric transmission.Interpretation is limited due to the small scale.",e27c44369df6b5e8be2af37df9ab07dacaae71e9,9/2/20,Nat Commun,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU.",aa20b069d1be9f57876d87ad89cb65f19e60b256,5/17/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU.",2727ababbff73fddd28d9cf63c009d3b53ac0900,5/17/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"African green monkeys replicate aspects of human disease, including severe pathological symptoms (exposed to 500,000 PFU via intranasal and intratracheal routes), mild clinical symptoms (aerosol exposures between 5,000 and 16,000 PFU), and acute respiratory distress syndrome (ARDS), with small particle aerosol exposure doses as low as 2,000 PFU.",a0549ca04711abb7e84ee95dac8316e617c9c749,6/21/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
"Aerosol exposure of three primate species (African green monkeys, cynomolgus macaques, and rhesus macaques) via a Collison nebulizer resulted in mild clinical disease in all animals with doses between 28,700 and 48,600 PFU.",c0d2d4270ba7e89487cfa71e99d692c45baf4743,6/26/20,bioRxiv,,1. Infectious Dose – How much agent will make a healthy individual ill?,
