question	ANNOTATION	ground_truth	matched_claim	matched_claim_paperID	ground_truth_paperID	matched_date	matched_authors	matched_journal	matched_title	matched_affiliation	distance
1. Infectious Dose – How much agent will make a healthy individual ill?	0	The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"Data on the human infectious doses for MERS-CoV, severe fever with thrombocytopenia syndrome virus (SFTSV), Nipah virus, EV-D68, and SARS-CoV-2 have not been reported"	b13089af02ee7d5bc083f7e985b5dcb9074fb157	None	2020-09-08	"Ijaz, M. Khalid; Sattar, Syed A.; Rubino, Joseph R.; Nims, Raymond W.; Gerba, Charles P."	PeerJ	Combating SARS-CoV-2: leveraging microbicidal experiences with other emerging/re-emerging viruses	;University of Arizona	0.294704012
1. Infectious Dose – How much agent will make a healthy individual ill?	0	The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	Data on the human infectious dose by aerosol and surface contact (fomite) transmission routes are still lacking for the SARS-CoV-2 pathogen	86c58960f3733a069909fe40cb2c20301e5f794b	None	2020-04-08	"Odor, Peter M.; Neun, Maximilian; Bampoe, Sohail; Clark, Sam; Heaton, Daniel; Hoogenboom, Emilie M.; Brown, Michael; Patel, Anil; Kamming, Damon"	Br J Anaesth	Anaesthesia and COVID-19: infection control	;University College Hospital	0.323887909
1. Infectious Dose – How much agent will make a healthy individual ill?	0	The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"Detection of cultivable SARS-CoV-2 from URT samples is valuable as a proxy for infectiousness; however, as the human infectious dose remains unknown, the significance of low titres of infectious virus for human-to-human transmission remains uncertain"	5ee87ce5172855fb8429fc2ff43e1e796835a3ea	None	2020-08-13	"Singanayagam, Anika; Patel, Monika; Charlett, Andre; Lopez Bernal, Jamie; Saliba, Vanessa; Ellis, Joanna; Ladhani, Shamez; Zambon, Maria; Gopal, Robin"	Euro Surveill	"Duration of infectiousness and correlation with RT-PCR cycle threshold values in cases of COVID-19, England, January to May 2020"	;Public Health England	0.356617963
1. Infectious Dose – How much agent will make a healthy individual ill?	-1	The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"This is especially true when dealing with highly pathogenic viruses with relatively low human infectious doses, as is the case with many of the emerging/re-emerging viruses, and likely including SARS-CoV-2, being discussed in this review"	b13089af02ee7d5bc083f7e985b5dcb9074fb157	None	2020-09-08	"Ijaz, M. Khalid; Sattar, Syed A.; Rubino, Joseph R.; Nims, Raymond W.; Gerba, Charles P."	PeerJ	Combating SARS-CoV-2: leveraging microbicidal experiences with other emerging/re-emerging viruses	;University of Arizona	0.424024056
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	The human infectious dose of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is unknown by all exposure routes.	"The human infectious dose for Pan99 aerosolized from paper tissues is unknown, but for an influenza A (H2N2) virus in liquid solution, aerosolized into similarly sized particles (1-3 µm), inhalation of~2 pfu or fewer (0.6 to 3 TCID 50 ) was found to be sufficient to initiate human infection 26 "	0d89aabecf913a240418de656a1bff56743c1c18	None	2020-08-18	"Asadi, Sima; Gaaloul ben Hnia, Nassima; Barre, Ramya S.; Wexler, Anthony S.; Ristenpart, William D.; Bouvier, Nicole M."	Nat Commun	Influenza A virus is transmissible via aerosolized fomites	;University of California Davis	0.587407754
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"The infectious dose of SARS-CoV-2, that is, the average number of virions necessary to cause an infection for COVID-19, is still unknown, but it is estimated at ∼1000 virions by analogy to influenza and other coronaviruses"	52847874a3222a974908998503d78855837b46fa	None	2020-11-25	"Zuo, Yi Y.; Uspal, William E.; Wei, Tao"	ACS Nano	"Airborne Transmission of COVID-19: Aerosol Dispersion, Lung Deposition, and Virus-Receptor Interactions"		0.260475046
1. Infectious Dose – How much agent will make a healthy individual ill?	-1	"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"(Watanabe et al., 2010) estimated the infectious doses of several coronaviruses on the basis of data sets challenging humans with virus HCoV-229E (known as an agent of human common cold) and animals with SARS-CoV-1"	55c8fb7f5dd4773a050e547d3ffedd061972b328	None	2020-09-06	"Buonanno, G.; Morawska, L.; Stabile, L."	Environ Int	Quantitative assessment of the risk of airborne transmission of SARS-CoV-2 infection: prospective and retrospective applications	;University of Cassino and Southern Lazio	0.263140346
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"The human infective dose for SARS-CoV has been estimated at 16-160 plaque-forming units (Watanabe et al., 2010) "	b13089af02ee7d5bc083f7e985b5dcb9074fb157	None	2020-09-08	"Ijaz, M. Khalid; Sattar, Syed A.; Rubino, Joseph R.; Nims, Raymond W.; Gerba, Charles P."	PeerJ	Combating SARS-CoV-2: leveraging microbicidal experiences with other emerging/re-emerging viruses	;University of Arizona	0.276526735
1. Infectious Dose – How much agent will make a healthy individual ill?	-2	"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	"In a murine model, the infectious dose of 2003 SARS-CoV was estimated to be 43-280 plaque-forming units"	cbdf5bc7c6ba2e636c56791b2f0b65a65db65ba7	None	2020-06-08	"Cheng, Vincent Chi-Chung; Wong, Shuk-Ching; Chan, Veronica Wing-Man; So, Simon Yung-Chun; Chen, Jonathan Hon-Kwan; Yip, Cyril Chik-Yan; Chan, Kwok-Hung; Chu, Hin; Chung, Tom Wai-Hin; Sridhar, Siddharth; To, Kelvin Kai-Wang; Chan, Jasper Fuk-Woo; Hung, Ivan Fan-Ngai; Ho, Pak-Leung; Yuen, Kwok-Yung"	Infection control and hospital epidemiology	Air and environmental sampling for SARS-CoV-2 around hospitalized patients with coronavirus disease 2019 (COVID-19)	Li Ka Shing;Hong Kong Special Administrative Region	0.277466256
1. Infectious Dose – How much agent will make a healthy individual ill?	0	"Based on experimental studies with humans exposed to other coronaviruses, animals exposed to SARS-CoV-2, and modeling estimates, the median infectious dose is likely between 10 and 1,000 viral particles (plaque-forming units, PFU)."	used animal studies and modeling of SARS spreading in an apartment complex in China to estimate the infectious dose for SARS-Cov-1 to be 280 viral particles to cause disease in 50% of the population	a2f16a7c93a2495fe92085c34cee8ee80acb0142	None	2020-05-11	"Schröder, Imke"	J Chem Health Saf	COVID-19: A Risk Assessment Perspective		0.309713453
